Validator,PT_VERSION,2.13.0
Validator,HIP_VERSION,715
Validator,HIPBLASLT_VERSION,100401-8d1ae90e
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.6.0.8d1ae90e
GemmTunableOp_Half_TN,tn_3584_4096_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086327703,2.741127332051595
GemmTunableOp_Half_TN,tn_10240_4096_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086327687,8.088013648986816
GemmTunableOp_Half_TN,tn_512_4096_2560_ld_2560_2560_512,Default,0.44048919975757594
GemmTunableOp_Half_TN,tn_2560_4096_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086327687,1.236831137112209
GemmTunableOp_Half_TN,tn_4096_4096_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086327687,3.255955457687378
GemmTunableOp_Half_TN,tn_10240_4096_320_ld_320_320_10240,Gemm_Rocblas_-1086327680,0.9581703212526109
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086327703,1.5518894791603088
GemmTunableOp_Half_TN,tn_4096_1024_2560_ld_2560_2560_4096,Default,0.862690407037735
GemmTunableOp_Half_TN,tn_336_4096_10240_ld_10240_10240_336,Gemm_Rocblas_-1086327717,1.3298028537205286
GemmTunableOp_Half_TN,tn_10240_1024_320_ld_320_320_10240,Default,0.2135655999183655
GemmTunableOp_Half_TN,tn_512_1024_2560_ld_2560_2560_512,Gemm_Rocblas_-1086327686,0.1416491001844406
GemmTunableOp_Half_TN,tn_2560_1024_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086327717,0.33198649585247036
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086327913,0.8577114939689636
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.4973964989185333
GemmTunableOp_Half_TN,tn_336_1024_10240_ld_10240_10240_336,Gemm_Rocblas_-1086327768,0.381394699215889
